name,rank,overallScore,teachingScore,internationalOutlook,industryIncome,research,citations,textBelow
University of Bologna ,226-250,,32.7,34.9,32.2,22.0,52.1,"Since 2000, Bologna's motto has been ""Alma mater studiorum"" (""Nurturing mother of studies""), reminding its 96,000 present-day students that this institution, dating from 1088, is the oldest university in the Western world. Historically noted for teaching canon and civil law, its 22 faculties offer 128 ""laurea"" or ""laurea breve"" first-level degrees and about as many specialised two-year qualifications."
Carleton University ,226-250,,17.0,58.6,,24.2,61.6,"At its outset in 1942, the institution once known as Carleton College offered only evening classes at the introductory level. Today, its student body of more than 25,000 includes over 5,000 part-timers. It has an academic staff of around 880 scholars, five colleges and a business school."
Chalmers University of Technology ,226-250,,25.9,66.0,79.3,37.2,36.3,"Founded in 1829, this Swedish institution adopted its French motto - ""Avancez!"" - from that of its founder, the director of the Swedish East India Company, William Chalmers. It has more than 9,000 students and around 1,600 academic staff in 17 scientific and technological departments."
Colorado State University ,226-250,,26.9,25.5,,32.0,51.2,"From humble agricultural-college roots in 1870 in the ""American dream"" city of Fort Collins, Colorado State is today sited on 5,000 acres, with a main campus plus agricultural and mountain satellites. Its 25,000 ""Rams"" are served by around 1,500 academics in eight colleges offering more than 150 study programmes."
Drexel University ,226-250,,36.9,37.8,29.9,12.2,59.4,"Boasting one of the world's oldest and largest work-placement programmes, the university was founded by philanthropist Anthony J. Drexel in 1891. It has some 22,500 students and an academic staff of about 2,500 in 13 faculties and schools on its 74-acre main campus and four satellites, including one in Sacramento."
Dalhousie University ,226-250,,25.5,64.8,72.5,30.7,43.0,"Sited on 79 acres of the Halifax Peninsula, the institution was founded in 1818 by George Ramsey, the ninth Earl of Dalhousie. Its 11 faculties offer 180 undergraduate and postgraduate programmes to 16,000 students."
Creighton University ,226-250,,43.6,25.0,24.2,10.5,55.7,"Founded in 1878, Creighton University is a Jesuit institution comprising three undergraduate schools and colleges. It has 7,600 professional and graduate students. More than 60,000 Creighton alumni live in 89 countries: the largest numbers that reside outside the US are based in Canada, Japan and Malaysia."
University of Calgary ,226-250,,34.0,42.7,39.5,34.4,39.7,"The University of Calgary is regarded as one of Canada's top seven research institutions. More than 31,000 students are currently enrolled in its undergraduate, graduate and professional-degree programmes. The Canadian prime minister, Stephen Harper, is a Calgary alumnus."
University of Missouri ,226-250,,38.5,26.9,26.5,33.7,37.7,"The University of Missouri was founded in 1839. It was the first public university west of the Mississippi River and the first state university in Thomas Jefferson's Louisiana Purchase territory. Missouri provides $110 million in student financial aid from its own budget, including endowed scholarships and grants, graduate tuition and fee waivers and merit- and need-based scholarships."
Fudan University ,226-250,,42.4,36.1,40.5,26.2,42.9,"Initially named Fudan Public School, the university was established in 1905. After the founding of the People's Republic of China in 1949, Fudan became one of the nation's elite universities. It now has around 26,300 full-time degree candidates and close to 2,700 full-time teachers and researchers."
Macquarie University ,226-250,,21.3,93.0,42.3,23.2,46.5,"Named after the 19th-century colonial governor and reformer Lachlan Macquarie, Sydney's third university opened in 1964 on 310 acres of rolling bush 10 miles from the city centre. Today it has some 33,000 students and an academic staff of around 1,100 scholars in four faculties: arts; business and economics; human sciences; and science."
Korea University ,226-250,,39.5,23.4,49.7,39.6,30.2,"Korea University, founded in 1905, is widely acknowledged as one of the country’s oldest, largest and top-ranked universities in Korea. Its reputation for quality is based on excellence in teaching, research and service to Korean society. Eminent faculty, outstanding students and internationally recognized research programs all contribute to Korea University’s academic fame. As a major comprehensive university, KU offers a rich variety of courses in liberal arts and sciences as well as in all professional fields, including law, medicine and business administration.,KU is nationally recognized for its commitment to teaching and academic excellence. The university’s academic breadth is extensive with its 81 departments in 19 colleges and divisions, and 18 graduate schools and it has over 1,600 full-time faculty members with over 95% of them holding Ph.D. or equivalent qualification in their field. KU has particularly strong Humanities and Asian Studies Departments along with the recently established Graduate School of International Studies (GSIS). KU is also renowned for its professional schools of Law, Medicine and Business Administration. In research, KU is an internationally recognized leader with over 100 research centers, including the East Asiatic Research Centre and the Korean Cultural Research Centre. Furthermore, Korea University Business School (KUBS) is the only and the first business school in the country to have acquired both European Quality Improvement System (EQUIS) accreditation, in combination with the accreditation granted by the Association to Advance Collegiate Schools of Business (AACSB). Unlike many universities in Korea, KU prides itself not only in being a progressive and globally conscious institution but one that plays a role in preserving and developing Korea’s unique culture."
University of Milan ,226-250,,37.1,34.3,35.0,24.3,51.3,"The ""Statale"" was born from the 1923 merger of two older landmarks of learning in Italy's leading industrialised city - the Accademia's Faculty of Arts and Philosophy and the Istituti di Perfezionamento. It is one of Italy's largest universities, with 63,000 students, a teaching and research staff of around 2,450 and 2,200 non-teaching staff distributed across nine faculties."
University of Milan-Bicocca ,226-250,,22.5,33.2,35.6,12.3,78.3,"Founded in 1998, the institution was created to serve the students of northern Italy and to relieve pressure on the University of Milan. It has eight schools and 21 departments. The faculties organise teaching while the departments promote research and oversee doctoral programmes."
Universität Hamburg ,226-250,,35.2,56.3,27.4,21.3,50.0,"The institution was founded in 1919 and is one of Germany's largest universities with about 38,000 students. It is organised into six schools and has 23 departments. About 650 of its 4,100-strong academic workforce are full professors. About 120 of them are based in the Faculty of Medicine and Science."
National Chiao Tung University ,226-250,,36.4,24.2,100.0,44.5,25.1,"Following initiatives from alumni of the former Chiao Tung University, the roots of which lay in late 19th-century suburban Shanghai, the university was reconstituted in the north-western Taiwanese city of Hsinchu in 1958. On two campuses of extensive rolling parkland, more than 12,000 students are taught by a faculty of nearly 600 scholars."
Simon Fraser University ,226-250,,19.6,56.8,37.6,30.0,53.0,"Named after the famous fur trader and explorer, Simon Fraser University is Canada's top-ranked comprehensive university. With campuses in Vancouver, Burnaby, and Surrey, B.C., SFU engages actively with the community in its research and teaching, delivers almost 150 programs to more than 30,000 students, and has more than 120,000 alumni in 130 countries."
State University of New York Albany - University at Albany,226-250,,25.7,25.9,92.9,30.8,53.5,"World-renowned for its Writers' Institute, host to more than 850 scriveners, poets, journalists, historians, dramatists and film-makers, this 166-year-old body, which started out as New York State Normal School, today leads advances in nanoscience and biotechnology research. Nine schools and colleges staffed by 940 faculty offer its 18,000-plus students some 58 undergraduate majors and 128 graduate-degree programmes."
Swedish University of Agricultural Sciences ,226-250,,28.9,43.5,100.0,22.2,49.8,"In 1977, this institution was created through the merger of three scholastic organisations, one of them a 200-year-old veterinary college founded by a student of the master taxonomist, Carolus Linnaeus. A tuition-intensive institution, its 3,000 students - 700 of whom are engaged in doctoral studies - work under the tutelage of 3,000 staff."
Tokyo Metropolitan University ,226-250,,19.0,17.8,27.6,10.3,84.3,"TMU is a public university in Tokyo, the host city for the Olympic and Paralympic Games in 2020.,All of the campuses of TMU are located in Tokyo Prefecture, and it takes about 30 minutes by train from central Tokyo to the Minami-Osawa Campus (the main campus), which offers an excellent learning environment with lush greenery.,Currently, a total of 9,300 students (about 7,000 undergraduate students and about 2,300 graduate students) are enrolled at TMU, and about 680 faculty members are employed. Many excellent researchers are employed at TMU, achieving significant growth in the fields of research. In the Times Higher Education World University Rankings 2013-2014, TMU received the highest score of 100.0 for “citations.”,TMU has four faculties with 28 divisions and six graduate schools with 30 departments, offering a wide range of education and research fields.,TMU provides opportunities for learning and research in a broad range of areas and highly specialized sciences, and collaborates with industry to produce results relevant to mega cities, nurture humanity and creativity and improve society.,In order to fulfill our mission, we focus on the following priority issues common to mega cities:,TMU enjoys high global reputation in terms of research achievements. In the Times Higher Education World University Rankings 2013-2014, TMU received the highest score of 100.0 for “citations.” ,In 2012, Professor Masatake Haruta was selected as a Thomson Reuters Citation Laureate as a possible winner of the Nobel Prize for his “independent foundational discoveries of catalysis by gold.”,Social Studies,Psychology and Pedagogy,Humanities and Intercultural Studies,Law,Politics,Business Administration,Economics,Mathematical Sciences,Physics,Chemistry,Biological Sciences,Electrical and Electronic Engineering,Mechanical Engineering,Urban Policy,Geography,Civil and Environmental Engineering,Architecture and Urban Studies,Applied Chemistry,Nature- and Culture-based Tourism,Human Mechatronics Systems,Information and Communication Systems,Aerospace Engineering,Management Systems Engineering,Industrial Art,Nursing Sciences,Physical Therapy,Occupational Therapy,Radiological Sciences,Behavioral Social Science,Human Sciences,Philosophy, History and Cultural Studies,Intercultural Studies,Law and Politics,Law School,Business Administration,Mathematics and Information Sciences,Physics,Chemistry,Biological Sciences,Electrical and Electronic Engineering,Mechanical Engineering,Geography,Civil and Environmental Engineering,Architecture and Building Engineering,Urban Science,Applied Chemistry,Tourism Science,Human Mechatronics Systems,Information and Communication Systems,Aerospace Engineering,Management Systems Engineering,Industrial Art,Nursing Sciences,Physical Therapy,Occupational Therapy,Radiological Sciences,Frontier Health Sciences,Health Promotion Sciences,TMU offers “Semester Abroad at Tokyo Metropolitan University, “SATOMU” program designed for International students from the partner institutions.,The SATOMU program is a short-term program for exchange students from universities shat have academic exchange agreement with Tokyo Metropolitan University. The program`s distinctive courses, offered primarily in English, give opportunities to understand more about Japan and Tokyo. Those who fulfill the requirements obtain a certificate upon completion of the program."
University of Trieste ,226-250,,16.7,45.5,31.3,12.9,76.9,"This university, established in 1924, benefits from its proximity to Trieste's cluster of scientific centres, not least two astronomical observatories, the Elettra Synchrotron Light Laboratory and the National Institute of Nuclear Physics. Some 1,000 professors teach 23,000 students."
University of Padua ,226-250,,24.2,34.3,31.1,26.0,56.2,"For Italy's second-oldest university, established in 1222, the golden age of enquiry spanned the 15th to the 18th centuries, during which the Venetian Republic afforded it a modicum of independence from the Catholic Church. Galileo held the chair in mathematics between 1592 and 1610. The 21st-century university consists of 14 faculties serving 65,000 students."
Yonsei University ,226-250,,41.5,23.3,47.9,33.6,36.9,"Founded by American missionaries, Yonsei, which describes itself as a learning centre based on Christian principles, adopted as its motto: ""The truth will set you free"" (John 8:32). This mission school's 2007 charter mandates the make-up of its board as two Presbyterians, a Methodist and an Anglican. The university instructs around 29,000 students supervised by some 4,200 faculty members."
University of Antwerp ,276-300,,21.8,70.7,56.2,10.9,55.3,"This eight-year-old higher education centre requires international-exchange students in its Odysseus programme to improve service delivery by providing feedback about their stay. With some 15,000 students and 850 staff occupying four campuses, the institution is noted for its work in the natural and biomedical sciences."
